Reference Year,Basis Type,Season,State,Crop,Human Labour Cost (₹/ha),Seasonal Avg Daily Wage (₹/day),Yield (qtl/ha),Wage Reference Period,Human Labour Source,Wage Source,Yield Source,Source Report,Annex 5.6 Report Page,Notes
2021-22,Actual,Kharif,Tamil Nadu,Maize,28359,541.3,42.14,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",240,
2021-22,Actual,Kharif,Tamil Nadu,Moong,11888,541.3,4.21,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",250,
2021-22,Actual,Kharif,Tamil Nadu,Paddy,22052,541.3,45.25,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",228,
2021-22,Actual,Kharif,Tamil Nadu,Urad,14860,541.3,6.31,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",254,
2021-22,Actual,Kharif,Telangana,Arhar (Tur),13498,,7.01,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",245,
2021-22,Actual,Kharif,Telangana,Cotton,45426,,15.98,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",274,
2021-22,Actual,Kharif,Telangana,Groundnut,39724,,17.84,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",259,
2021-22,Actual,Kharif,Telangana,Maize,28102,,53.97,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",241,
2021-22,Actual,Kharif,Telangana,Paddy,34901,,54.56,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",228,
2021-22,Actual,Kharif,Telangana,Soybean,15595,,8.35,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",263,
2021-22,Actual,Kharif,Uttar Pradesh,Arhar (Tur),26643,308.4,9.32,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",246,
2021-22,Actual,Kharif,Uttar Pradesh,Bajra,18035,308.4,18.91,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",235,
2021-22,Actual,Kharif,Uttar Pradesh,Groundnut,16512,308.4,10.44,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",260,
